日期,拥堵指数
2025-05-01,1614.14
2025-05-02,1537.36
2025-05-03,1558.6
2025-05-04,1406.4
2025-05-05,1275.6
2025-05-06,2090.32
2025-05-07,2093.88
2025-05-08,2075.78
2025-05-09,2105.46
2025-05-10,1482.86
2025-05-11,1357.16
2025-05-12,2150.86
2025-05-13,2145.3
2025-05-14,2167.22
2025-05-15,2161.18
2025-05-16,2294.4
2025-05-17,1461.9
2025-05-18,1336.08
2025-05-19,2123.0
2025-05-20,2150.78
2025-05-21,2129.94
2025-05-22,2099.08
2025-05-23,2295.56
2025-05-24,1492.18
2025-05-25,1332.68
2025-05-26,2093.56
2025-05-27,2101.38
2025-05-28,2103.2
2025-05-29,2103.76
2025-05-30,2331.24
2025-05-31,1398.78
2025-06-01,1357.64
2025-06-02,1313.46
2025-06-03,2093.16
2025-06-04,2077.04
2025-06-05,2070.86
2025-06-06,2235.74
2025-06-07,1324.78
2025-06-08,1209.64
2025-06-09,2039.22
2025-06-10,2064.96
2025-06-11,2096.84
2025-06-12,2096.3
2025-06-13,2281.58
2025-06-14,1035.24
2025-06-15,1359.48
2025-06-16,2172.54
2025-06-17,2167.08
2025-06-18,2173.02
2025-06-19,2158.46
2025-06-20,2352.2
2025-06-21,1448.32
2025-06-22,1286.98
2025-06-23,2121.88
2025-06-24,2107.12
2025-06-25,2133.12
2025-06-26,2195.5
2025-06-27,2373.32
2025-06-28,1503.52
2025-06-29,1362.56
2025-06-30,2207.9
2025-07-01,2207.9
2025-07-02,2177.2
2025-07-03,2214.06
2025-07-04,2397.84
2025-07-05,1490.26
2025-07-06,1414.76
2025-07-07,2236.66
2025-07-08,2260.7
2025-07-09,2250.46
