设备ID ,接受时间 ,大气温度 ,湿度 ,露点 ,雨水关开 ,风速（10min，平均） ,风向（10min，平均） ,降水量 ,雨水强度 ,雪高 ,能见度 ,气压 ,气温趋势 ,雨水级别 ,太阳辐射 ,太阳辐射（从P1通道） ,最大风速 ,最大风向 ,
3110109001 ,2019-12-31 23:55:25,-11.5 ,48 ,0 ,0 ,7.3 ,224 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110109002 ,2019-12-31 23:55:21,-13 ,70 ,0 ,0 ,.7 ,124 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110111001 ,2019-12-31 23:50:54,-10.1 ,0 ,0 ,0 ,.5 ,95 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110111002 ,2019-11-30 19:42:49,2.2 ,38 ,0 ,0 ,1.8 ,10 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110111003 ,2019-12-31 23:51:02,-10.5 ,61 ,0 ,0 ,.2 ,138 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110111004 ,2019-12-31 23:51:06,-9.8 ,48 ,0 ,0 ,0 ,261 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110111005 ,2019-12-31 23:40:30,-10.8 ,47 ,0 ,0 ,.6 ,268 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110112001 ,2019-12-31 23:57:35,-10.4 ,55 ,0 ,0 ,57.1 ,357 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110112002 ,2019-12-31 23:54:23,-8.8 ,48 ,0 ,0 ,3.8 ,13 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110114001 ,2019-12-31 23:43:05,0 ,0 ,0 ,0 ,0 ,357 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110115001 ,2019-12-27 13:38:43,4 ,48 ,0 ,0 ,1 ,181 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3110115002 ,2019-12-27 07:00:05,-6.5 ,82 ,0 ,0 ,57.1 ,357 ,0 ,0 ,0 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
