站点名称,站点ID,纬度（°）,经度（°）,海拔高度(m),年份,月份,平均温度（0.01°C）,最高温度（0.01°C）,最低温度（0.01°C）,日最高温≥35℃的天数（Day）,最小相对湿度(%),降水量(mm),日降水量≥0.1mm的天数（Day）,最大风速日数(Day)
Shun Yi,54398,40.13,116.62,27.9,2023,12,-3.4,13.8,-16.1,0,14,8.9,4,0
Hai Dian,54399,39.99,116.29,46.3,2023,12,-3.7,14.4,-15.9,0,13,18,4,1
Yan Qing,54406,40.45,115.97,487.5,2023,12,-6.6,16.4,-21.7,0,16,11.9,4,0
Fo Ye Ding,54410,40.6,116.13,1224.9,2023,12,-9.4,9.9,-26.6,0,22,18.5,5,7
Tang He Kou,54412,40.73,116.63,331.7,2023,12,-8.9,16.9,-26.7,0,17,7.8,4,0
Mi Yun,54416,40.38,116.86,71.4,2023,12,-5.5,13.6,-21.9,0,12,6.4,3,0
Huai Rou,54419,40.36,116.63,75.2,2023,12,-4.8,12.9,-19.4,0,12,9.8,4,0
Shang Dian Zi,54421,40.66,117.11,292.4,2023,12,-6.4,14.3,-24.2,0,15,7.5,5,0
Ping Gu,54424,40.17,117.12,31.1,2023,12,-5.6,14.2,-22,0,15,12.3,4,0
Tong Zhou,54431,39.85,116.76,19.8,2023,12,-4.4,11.5,-18.7,0,15,14.8,4,3
Chao Yang,54433,39.95,116.5,34.4,2023,12,-2.8,13.5,-15.5,0,14,12,4,1
Chang Ping,54499,40.22,116.21,75.7,2023,12,-3.2,16.2,-16.9,0,12,16.5,4,1
Zhai Tang,54501,39.97,115.69,440.1,2023,12,-5.7,19.2,-20,0,14,15.8,4,0
Men Tou Gou,54505,39.89,116.16,85.5,2023,12,-3.3,12.7,-14.7,0,14,15.4,4,2
Bei Jing,54511,39.81,116.47,32.8,2023,12,-3.5,12.2,-15.5,0,12,14.1,4,1
Shi Jing Shan,54513,39.94,116.21,63,2023,12,-3.2,14.1,-15.9,0,14,17.9,4,3
Feng Tai,54514,39.87,116.25,55,2023,12,-3.5,13.5,-15,0,13,17.1,4,1
Da Xing,54594,39.72,116.35,37.5,2023,12,-4.8,12.6,-18.8,0,14,16.8,4,1
Fang Shan,54596,39.77,116.19,48.6,2023,12,-4.7,12.9,-18.9,0,14,16.3,4,0
Xia Yun Ling,54597,39.73,115.74,408.5,2023,12,-4.8,20.4,-18.3,0,12,16.8,4,0
Shun Yi,54398,40.13,116.62,27.9,2024,1,-2.3,10,-11.8,0,13,0,0,0
Hai Dian,54399,39.99,116.29,46.3,2024,1,-2.3,11.5,-11.3,0,13,0,0,0
Yan Qing,54406,40.45,115.97,487.5,2024,1,-6.5,6.5,-16.6,0,17,1.2,2,0
Fo Ye Ding,54410,40.6,116.13,1224.9,2024,1,-9.3,3.1,-23,0,14,2.6,3,8
Tang He Kou,54412,40.73,116.63,331.7,2024,1,-8.4,8.8,-22.9,0,12,0,0,1
Mi Yun,54416,40.38,116.86,71.4,2024,1,-4.6,9.8,-17.7,0,12,0,0,0
Huai Rou,54419,40.36,116.63,75.2,2024,1,-4.1,8.5,-17.3,0,10,0,0,0
Shang Dian Zi,54421,40.66,117.11,292.4,2024,1,-5.5,7.6,-18.6,0,12,0,0,1
Ping Gu,54424,40.17,117.12,31.1,2024,1,-4.1,9.1,-13.8,0,12,0,0,1
Tong Zhou,54431,39.85,116.76,19.8,2024,1,-2.8,9.4,-12,0,15,0,0,0
Chao Yang,54433,39.95,116.5,34.4,2024,1,-1.5,10.3,-10.4,0,14,0,0,0
Chang Ping,54499,40.22,116.21,75.7,2024,1,-2.2,11.4,-11.7,0,14,0.3,1,1
Zhai Tang,54501,39.97,115.69,440.1,2024,1,-5.9,10.1,-17.4,0,15,0.2,1,2
Men Tou Gou,54505,39.89,116.16,85.5,2024,1,-2.1,9.7,-11.5,0,12,0.6,1,0
Bei Jing,54511,39.81,116.47,32.8,2024,1,-2,8.4,-10.4,0,12,0,0,0
Shi Jing Shan,54513,39.94,116.21,63,2024,1,-2.3,10,-13.9,0,13,0.7,1,0
Feng Tai,54514,39.87,116.25,55,2024,1,-2,8.2,-11.3,0,13,0,0,0
Da Xing,54594,39.72,116.35,37.5,2024,1,-2.9,7,-11.5,0,13,0,0,0
Fang Shan,54596,39.77,116.19,48.6,2024,1,-3,7.4,-11.5,0,13,0,0,0
Xia Yun Ling,54597,39.73,115.74,408.5,2024,1,-4.5,10.8,-14.6,0,13,0,0,0
Shun Yi,54398,40.13,116.62,27.9,2024,2,0.2,14.6,-10.4,0,10,3.8,3,0
Hai Dian,54399,39.99,116.29,46.3,2024,2,0.6,15.8,-9.4,0,12,6.8,3,0
Yan Qing,54406,40.45,115.97,487.5,2024,2,-3.2,12.4,-15.1,0,15,4,2,0
