序号,总车次,延时开始时间,延时结束时间,延时线路,共享时间,更新时间
1,100,14/11/2022 06:16:00,14/11/2022 22:19:00,1,2022/11/15 11:16,28/12/2023 12:16:00
10,500,6/11/2022 11:16:00,6/11/2022 22:16:00,2,2022/11/15 15:16,15/11/2022 15:16:00
11,600,5/11/2022 11:16:00,5/11/2022 22:16:00,3,2022/11/15 16:16,15/11/2022 16:16:00
12,700,4/11/2022 11:16:00,4/11/2022 22:16:00,3,2022/11/15 17:16,15/11/2022 17:16:00
13,650,3/11/2022 11:16:00,3/11/2022 22:16:00,3,2022/11/15 18:16,15/11/2022 18:16:00
14,750,2/11/2022 11:16:00,2/11/2022 22:16:00,3,2022/11/15 19:16,15/11/2022 19:16:00
15,150,1/11/2022 11:16:00,1/11/2022 22:16:00,3,2022/11/15 20:16,15/11/2022 20:17:00
16,210,1/11/2022 06:16:00,1/11/2022 22:16:00,4,2022/11/15 11:11,15/11/2022 11:12:00
1663204071640276994,34,28/4/2023 23:23:00,29/4/2023 05:14:00,2号线,2023/4/28,29/5/2023 23:22:06
1663204071715774466,34,28/4/2023 23:23:00,29/4/2023 05:14:00,2号线,2023/4/28,29/5/2023 23:22:06
1663204071715774467,39,28/5/2023 23:00:00,29/5/2023 05:28:00,7号线,2023/4/28,29/5/2023 23:22:06
1663204071715774468,12,28/5/2023 23:23:00,29/5/2023 01:23:00,4号线,2023/4/28,29/5/2023 23:22:06
1663204072747573250,6,29/5/2023 23:22:00,30/5/2023 00:22:00,2号线,2023/4/29,29/5/2023 23:22:06
1663204072810487809,6,29/4/2023 23:22:00,30/4/2023 00:22:00,2号线,2023/4/29,29/5/2023 23:22:06
1663204072810487810,19,29/4/2023 00:30:00,30/4/2023 02:30:00,6号线,2023/4/29,29/5/2023 23:22:06
1663204072877596674,12,29/4/2023 23:23:00,30/4/2023 01:23:00,4号线,2023/4/29,29/5/2023 23:22:06
